 ALL TERRAIN/OHV, DIFFICULT HIKING, HORSE,ACCESSIBLE SWIMMING,AMPHITHEATER,AUTO TOURING,BACKPACKING,BEACH CAMPING,BEACHCOMBING,BERRY PICKING,BIKING,BIRD WATCHING,BIRDING,BOAT RENTAL,BOATING,CAMPING,CANOEING,CLIMBING,CRAWFISHING,CROSS COUNTRY SKIING,CULTURAL ACTIVITIES,DAY USE AREA,DISC GOLF,EDUCATIONAL PROGRAMS,ENVIRONMENTAL EDUCATION,EVENING PROGRAMS,FIRE LOOKOUTS/CABINS OVERNIGHT,FISH HATCHERY,FISH VIEWING SITE,FISHING,GOLD PANNING,GOLF,GONDOLA RIDES,GUIDED INTERPRETIVE WALKS,HIKING,HIKING TRAIL,HISTORIC & CULTURAL SITE,HISTORIC SITES,HORSE CAMPING,HORSEBACK RIDING,HOTEL/LODGE/RESORT FS OWNED,HOTEL/LODGE/RESORT PRIVATELY OWNED,HUNTING,ICE CLIMBING,INFORMATION SITE,INTERPRETIVE PROGRAMS,JET SKIING,KAYAKING,LOOKOUT TOWER,MARINA,MOTOR BOAT,MOUNTAIN BIKING,MOUNTAIN CLIMBING,MUSHROOM PICKING,NON-MOTORIZED BOATING,OBSERVATION SITE,OFF HIGHWAY VEHICLE,OFF HIGHWAY VEHICLE TRAILS,OFF ROAD VEHICLE TRAILS,OTHER RECREATION CONCESSION SITE,PADDLE BOATING,PADDLING,PHOTOGRAPHY,PICNIC TABLES,PICNICKING,RAFTING,RANGER STATION,RECREATION PROGRAMS,RECREATIONAL VEHICLES,RIVER TRIPS,ROCK CLIMBING,SAILBOARDING,SAILING,SCENIC DRIVE,SCUBA DIVING,SEA KAYAKING,SKIING,SLEDDING,SNORKELING,SNOWMOBILE,SNOWMOBILE TRAILS,SNOWMOBILING,SNOWSHOEING,SOFTBALL FIELDS,STAR GAZING,STARGAZING,SWIMMING,SWIMMING SITE,TRAILS,TUBING,VISITOR CENTER,WATER ACCESS,WATER ACTIVITIES,WATER SKIING,WATER SPORTS,WHALE WATCHING,WHITEWATER RAFTING,WILD HORSE VIEWING,WILDERNESS,WILDLIFE VIEWING,WINTER SPORTS,WOOD CUTTING,NumberofActivities
0,0,0,0,1,0,0,0,2,2,16,0,8,0,32,50,5,0,0,1,0,8,0,1,0,0,0,0,0,39,0,0,0,1,37,0,6,0,0,2,0,0,2,0,0,6,0,3,0,0,1,4,0,2,2,0,0,0,3,0,1,2,4,0,7,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,0,9,21,0,0,4,4,2,2,14,0,1,0,2,16,1,1,333
0,0,0,0,3,0,2,0,0,10,32,1,19,0,21,79,7,4,3,1,0,13,0,0,0,2,1,2,0,49,0,0,0,0,76,1,16,4,0,18,0,2,23,0,0,14,0,4,0,0,2,11,0,0,5,1,2,0,0,1,1,3,5,1,8,2,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,0,8,1,6,14,0,0,11,4,6,0,5,0,2,1,1,53,7,0,577
0,0,0,0,1,1,0,0,0,6,50,0,19,0,41,119,10,3,1,2,2,14,0,1,0,0,1,2,0,94,2,0,0,0,93,0,15,2,1,13,0,1,20,1,2,10,0,4,0,0,1,10,1,1,5,0,2,1,2,0,1,0,4,0,14,1,0,0,1,0,1,1,0,4,0,0,2,2,0,0,0,1,3,0,4,0,22,22,0,1,6,11,2,2,14,0,1,0,2,52,1,0,729
0,0,0,0,1,0,0,0,2,0,8,0,3,0,14,28,2,1,0,0,0,4,0,0,0,0,0,0,0,21,0,0,0,1,20,0,4,0,0,3,0,0,1,0,1,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,1,2,0,0,8,0,0,0,1,9,0,0,163
0,0,0,0,1,0,2,0,0,0,43,0,6,0,46,96,8,2,0,0,0,13,0,0,0,0,1,0,0,74,1,0,0,0,67,0,6,0,0,14,0,1,16,0,1,9,0,12,1,0,1,11,2,1,4,1,0,5,1,0,0,1,3,0,5,3,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,16,23,0,1,7,5,6,0,16,0,2,0,0,23,3,0,571
0,0,0,1,3,0,4,0,1,3,18,0,13,0,15,55,3,1,1,2,0,12,0,0,0,2,2,0,1,35,0,0,0,1,41,0,15,2,0,7,1,0,10,0,3,10,0,1,1,0,1,8,1,2,1,0,0,0,1,2,1,1,8,0,7,0,1,0,0,0,1,0,2,2,1,1,1,0,1,1,0,0,3,0,3,0,4,14,0,1,5,3,2,1,5,1,0,1,5,23,0,0,379
0,0,0,0,0,0,0,1,5,2,31,0,5,0,43,70,6,0,0,0,0,7,0,0,0,0,1,0,0,52,0,0,0,0,50,0,4,0,3,12,0,0,10,0,0,6,0,4,0,0,1,2,0,0,2,0,0,0,6,0,0,2,4,0,4,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,1,0,8,22,0,0,3,2,2,2,21,0,1,0,1,19,1,0,423
0,0,0,1,3,1,7,0,0,4,67,0,25,0,90,196,18,2,1,0,0,30,1,1,2,3,1,5,1,153,1,0,0,1,143,0,11,3,3,12,0,1,30,0,2,17,4,14,0,1,6,17,1,0,9,1,1,1,3,2,5,5,7,0,21,1,5,1,4,0,2,1,3,14,1,2,0,0,1,0,0,0,0,1,4,0,32,51,0,1,19,16,11,8,38,1,1,0,3,64,5,0,1224
1,1,1,0,0,0,1,0,2,2,21,0,6,1,21,51,3,1,0,0,1,8,0,0,0,0,1,0,0,43,0,1,1,1,47,0,7,0,0,4,0,0,6,0,1,11,1,5,0,0,1,2,0,0,1,0,0,1,0,0,0,1,2,0,6,0,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,1,2,0,8,17,1,1,7,7,5,1,11,2,0,0,0,21,2,0,357
0,0,0,0,0,0,2,0,0,1,16,1,2,0,22,44,1,2,0,1,0,9,0,0,0,0,0,0,0,35,0,0,0,1,38,0,6,0,0,7,0,0,2,0,2,13,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,0,3,0,6,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,14,0,0,7,1,0,0,10,0,1,0,1,10,3,0,277
