index,0,1,2,3,4,5,6
 ALL TERRAIN/OHV,0,0,0,1,0,0,0
 DIFFICULT HIKING,0,0,0,1,0,0,0
 HORSE,0,0,0,1,0,0,0
ACCESSIBLE SWIMMING,1,0,0,0,0,1,0
AMPHITHEATER,2,1,1,1,1,3,4
AUTO TOURING,0,0,1,0,0,1,0
BACKPACKING,6,0,1,3,0,7,1
BEACH CAMPING,0,0,0,0,0,1,0
BEACHCOMBING,1,6,0,2,2,1,0
BERRY PICKING,3,2,8,2,2,4,9
BIKING,29,37,67,47,12,87,23
BIRD WATCHING,1,0,0,0,0,0,1
BIRDING,14,6,25,10,7,28,16
BOAT RENTAL,0,0,0,1,0,0,0
BOATING,27,54,61,52,21,115,15
CAMPING,81,89,155,119,43,239,62
CANOEING,3,8,14,7,3,22,6
CLIMBING,2,1,4,3,0,3,3
CRAWFISHING,0,0,1,0,0,1,4
CROSS COUNTRY SKIING,3,0,2,0,1,0,1
CULTURAL ACTIVITIES,0,0,2,1,0,0,0
DAY USE AREA,17,11,20,21,6,33,10
DISC GOLF,0,0,0,0,0,1,0
EDUCATIONAL PROGRAMS,0,0,1,0,1,1,0
ENVIRONMENTAL EDUCATION,0,0,0,0,0,2,0
EVENING PROGRAMS,1,0,0,0,0,3,3
FIRE LOOKOUTS/CABINS OVERNIGHT,2,1,1,1,0,2,1
FISH HATCHERY,0,0,2,0,0,5,2
FISH VIEWING SITE,1,0,0,0,0,1,0
FISHING,55,67,122,95,33,187,36
GOLD PANNING,0,0,2,1,0,1,0
GOLF,0,0,0,1,0,0,0
GONDOLA RIDES,0,0,0,1,0,0,0
GUIDED INTERPRETIVE WALKS,2,1,1,1,0,1,0
HIKING,61,64,128,94,29,175,61
HIKING TRAIL,0,0,0,0,0,0,1
HISTORIC & CULTURAL SITE,18,8,18,12,4,14,16
HISTORIC SITES,2,0,2,0,0,3,4
HORSE CAMPING,0,3,1,0,0,3,0
HORSEBACK RIDING,11,14,18,13,2,20,14
HOTEL/LODGE/RESORT FS OWNED,1,0,0,0,0,0,0
HOTEL/LODGE/RESORT PRIVATELY OWNED,0,0,1,1,0,1,2
HUNTING,12,9,23,17,3,36,20
ICE CLIMBING,0,0,1,0,0,0,0
INFORMATION SITE,5,1,2,2,0,2,0
INTERPRETIVE PROGRAMS,18,10,17,20,3,21,11
JET SKIING,0,1,0,1,0,4,0
KAYAKING,1,5,7,13,1,18,3
LOOKOUT TOWER,1,0,0,0,0,1,0
MARINA,0,0,0,0,0,1,0
MOTOR BOAT,0,2,1,2,1,6,3
MOUNTAIN BIKING,11,3,13,10,4,22,8
MOUNTAIN CLIMBING,1,0,1,1,0,2,0
MUSHROOM PICKING,2,0,1,0,2,1,0
NON-MOTORIZED BOATING,0,1,5,5,2,11,6
OBSERVATION SITE,0,0,0,1,0,1,1
OFF HIGHWAY VEHICLE,0,0,4,0,0,1,0
OFF HIGHWAY VEHICLE TRAILS,0,0,2,0,0,6,0
OFF ROAD VEHICLE TRAILS,1,8,2,0,3,3,0
OTHER RECREATION CONCESSION SITE,2,0,0,2,0,2,1
PADDLE BOATING,2,0,1,0,1,5,1
PADDLING,0,2,0,2,2,5,4
PHOTOGRAPHY,10,4,6,5,2,8,6
PICNIC TABLES,0,0,0,0,0,0,1
PICNICKING,11,7,17,8,5,24,9
RAFTING,0,0,1,2,0,2,2
RANGER STATION,3,2,0,1,1,5,1
RECREATION PROGRAMS,0,0,0,0,0,1,0
RECREATIONAL VEHICLES,0,0,1,0,0,4,0
RIVER TRIPS,0,0,0,1,0,0,0
ROCK CLIMBING,1,0,1,0,0,2,0
SAILBOARDING,0,1,1,1,0,1,0
SAILING,2,4,0,2,1,4,4
SCENIC DRIVE,2,0,5,7,1,15,3
SCUBA DIVING,1,0,0,1,0,1,0
SEA KAYAKING,2,1,0,1,0,2,0
SKIING,1,0,2,0,0,0,0
SLEDDING,0,0,2,0,0,0,0
SNORKELING,2,0,0,1,1,2,0
SNOWMOBILE,1,0,0,0,1,0,0
SNOWMOBILE TRAILS,1,0,0,0,0,0,0
SNOWMOBILING,0,0,1,0,0,0,1
SNOWSHOEING,3,0,3,0,1,0,0
SOFTBALL FIELDS,0,0,0,1,0,1,0
STAR GAZING,3,1,7,4,1,5,7
STARGAZING,0,0,0,0,0,0,1
SWIMMING,3,11,28,18,4,38,7
SWIMMING SITE,21,29,36,35,14,62,9
TRAILS,0,0,0,1,0,0,0
TUBING,1,0,1,2,0,1,0
VISITOR CENTER,8,4,12,13,2,22,9
WATER ACCESS,4,3,14,11,2,18,3
WATER ACTIVITIES,1,2,2,9,2,13,7
WATER SKIING,1,2,2,1,2,8,0
WATER SPORTS,9,27,20,24,11,48,3
WHALE WATCHING,1,0,0,2,0,1,0
WHITEWATER RAFTING,1,1,3,1,0,2,1
WILD HORSE VIEWING,1,0,0,0,0,0,1
WILDERNESS,6,1,4,0,1,4,0
WILDLIFE VIEWING,30,28,67,36,10,73,46
WINTER SPORTS,1,1,4,5,0,7,5
WOOD CUTTING,0,0,0,0,1,0,0
Cluster,0,97,362,396,184,1400,408
